id,meanWi_before1970,meanSu_before1970,meanWi_after1990,meanSu_after1990,lat,long,elev
2707,29.15555556,25.45,29.75,25.6,-11.65,133.4,5
2708,28.01666667,24.14166667,28.875,24.3,-12.05,134.22,13
2709,28.27777778,24.5,28.8,24.93333333,-12.02,135.55,27
2710,28.07222222,23.98888889,28.40576923,24.11805556,-12.27,136.82,54
2711,28.18888889,24.72777778,27.65,NA,-12.63,141.88,11
2712,27.51568627,25.09333333,27.42777778,25.45,-10.57,142.22,8
2713,28.35151515,22.31111111,28.95,22.5,-14.78,143.5,82
2714,30.36666667,21.3,30.95,21.76666667,-19.75,120.85,8
2715,30.20897436,22.17121212,29.975,22.9,-18.68,121.77,12
2716,29.26774194,21.40287356,29.88030303,22.02857143,-17.95,122.22,9
2717,30.44857724,22.80203252,31.11666667,24.1,-17.3,123.62,9
2718,30.36733333,20.18030303,30.09133333,21.02777778,-18.22,127.65,424
2719,30.80833333,21.225,31.45833333,22.83333333,-17.02,128.2,205
2720,33.2,NA,30.7,NA,-15.48,128.12,17
2721,30.75,21.1,28.95,20.5,-16.4,131,82
2722,29.78,21.67,30.2,22.00833333,-15.57,133.2,186
2723,31,NA,30.48141026,19.46933333,-19.63,134.18,375
2724,30.43611111,19.15333333,31.05833333,19.86666667,-18.65,135.95,219
2725,29.58172043,21.04805556,29.62222222,22.01538462,-17.73,139.53,8
2726,29.44011299,22.18011696,29.85,23.46666667,-17.67,141.08,10
2727,28.51073446,20.46781609,29.40128205,21.42777778,-18.3,143.55,295
2728,28.4852459,22.70519126,28.50833333,23.03333333,-16.98,144.07,204
2729,28.12222222,23.35833333,29.34166667,23.85,-16.38,145.57,4
2730,27.30026882,21.28888889,27.67820513,21.97733333,-16.88,145.75,7
2731,26.46775956,19.90424242,27.34166667,20.23333333,-17.52,146.02,4
2732,26.89848485,19.54685535,27.5,20.7,-18.25,146.02,7
2733,26.93333333,19.228,28.10897436,20.25466667,-19.25,146.75,9
2734,26.37681159,17.24603175,27.01538462,17.56666667,-24.87,113.67,7
2737,31.89375,20.56666667,32.70833333,22.25833333,-20.78,117.12,13
2738,29.95530303,19.58181818,30.76944444,20.83550725,-20.1,119.57,10
2739,33.73333333,22.54444444,33.30833333,23.46666667,-20.35,119.52,45
2740,32.01481481,18.45294118,32.55238095,18.92685185,-22.23,118.33,464
2742,29.8,NA,30.1,18.26666667,-20.18,130,340
2743,27.13444444,11.96067416,28.08974359,12.48958333,-23.8,133.88,547
2744,31.1,13.84166667,29.39166667,15.1,-22.95,136.13,323
2745,29.56666667,16.98333333,30.23866667,18.38333333,-20.67,139.48,344
2746,28.94107143,15.68148148,29.74916667,17.23888889,-22.38,143.03,184
2747,29.62568306,18.03477011,30.52962963,19.51176471,-20.72,143.13,215
2748,28.83779762,14.5,29.05,15.91666667,-24.27,144.43,205
2749,29.70208333,16.32820513,30.47466667,17.32777778,-23.43,144.27,193
2750,27.31764706,13.09479167,26.3,NA,-24.88,146.25,397
2751,26.9124031,15.02280702,28.3,16.6,-22.82,147.63,269
2752,26.35,17.30454545,26.98333333,18.23733333,-21.12,149.22,31
2753,25.87933333,17.0251773,26.925,17.63333333,-21.17,149.12,14
2754,26.675,17.87204301,26.86666667,18.5,-22.33,149.53,18
2755,26.50952381,16.78095238,27.19615385,17.748,-23.38,150.47,14
2756,25.96060606,16.08255814,26.9,17.6,-23.63,150.38,244
2757,25.79222222,13.98222222,26.85,15.23333333,-24.37,150.52,175
2758,25.90196078,17.76568627,26.87933333,19.04565217,-23.85,151.25,76
2759,25.96296296,19.22564103,27.15833333,19.9,-24.1,152.7,5
